Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700565A
Comment,
Iridium IMEI,300434062295780

Report Period Begins,2018.02.01 20:22:53
Report Period Ends,2021.04.10 04:01:01

Report File Number,1 of 1
File Coverage Begins,2018.02.01 20:22:53
File Coverage Ends,2021.04.10 04:01:01

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.02.01 20:22:53,2018.02.01 20:22:53,,,,,,,,,,,,,,,,,,-23,,2018.02.02 12:29:01,1,,,,,Yes,
2018.02.01 20:24:06,2018.02.01 20:22:53,,,,2018.02.01 20:24:06,Succeeded,62.667974,-141.591072,7V,6948735,469721,,18.09,,,,,,,,2018.02.02 12:29:01,1,,,,,Yes,
2018.02.01 20:27:53,2018.02.01 20:22:53,,,,,,,,,,,,,,,,,12,,,2018.02.02 12:29:01,1,,,,,Yes,
2018.02.01 21:10:00,2018.02.01 21:00:00,,,,,,,,,,,,,,,,,63,,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.02 07:00:00,2018.02.02 07:00:00,,,,,,,,,,,,,,,,,,21,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.02 07:00:14,2018.02.02 07:00:00,,,,2018.02.02 07:00:14,Resolved QFP,62.664012,-141.592651,7V,6948295,469637,611,,1.2,0x51042826,9,,,,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.02 12:29:01,2018.02.02 12:29:01,8,62.72290,-141.59674,,,,,,,,,,,,,,,,,2018.02.02 12:29:01,,,,,,,
2018.02.02 12:29:01,2018.02.02 12:29:01,,,,,,,,,,,,,,,,,,,Hit,2018.02.02 12:29:01,1,,,,,Yes,
2018.02.02 16:00:55,2018.02.02 16:00:00,,,,2018.02.02 16:00:55,Succeeded,62.676020,-141.570076,7V,6949622,470805,,8.50,,,,55,,,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.02 22:10:00,2018.02.02 22:00:00,,,,,,,,,,,,,,,,,16,,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.03 08:00:00,2018.02.03 08:00:00,,,,,,,,,,,,,,,,,,19,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.03 08:00:09,2018.02.03 08:00:00,,,,2018.02.03 08:00:09,Resolved QFP,62.689310,-141.585497,7V,6951110,470029,664,,1.5,0x51000832,7,,,,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.03 23:10:00,2018.02.03 23:00:00,,,,,,,,,,,,,,,,,0,,,2018.02.08 20:33:08,1,,,,Primary,No,
2018.02.04 09:00:00,2018.02.04 09:00:00,,,,,,,,,,,,,,,,,,31,,2018.02.08 20:33:08,1,,,,Primary,No,
