ID,CTN,Refuge,Sex,Age,Year_Collared,Mass,Mortality,Multiple_Cats
KAN002,700533,Kanuti,F,Adult,2018,8.9,,N
KAN010,700535,Kanuti,F,Adult,2018,10.75,,N
KAN001,700536,Kanuti,F,Adult,2018,9.1,,N
KAN017,700540,Kanuti,F,Adult,2019,9.4,,N
KAN001,704781,Kanuti,F,Adult,2019,9,Mortality,N
KAN019,704784,Kanuti,F,Adult,2019,9.6,,N
KAN008,700531,Kanuti,M,Adult,2018,8.3,,N
KAN004,700532,Kanuti,M,Adult,2018,11,,N
KAN005,700534,Kanuti,M,Adult,2018,11.8,,N
KAN014,700537,Kanuti,M,Adult,2018,11.9,,N
KAN006,700538,Kanuti,M,Adult,2018,8.25,,N
KAN009,700539,Kanuti,M,Adult,2018,9.5,,N
KAN011,700541,Kanuti,M,Adult,2018,10.8,Mortality,N
KAN012,700594,Kanuti,M,Adult,2018,11,,N
KAN007,700600,Kanuti,M,Juvenille,2018,7.1,,N
KAN003,700601,Kanuti,M,Juvenille,2018,7.2,,N
KAN016,700602,Kanuti,M,Juvenille,2019,8.2,,N
KAN015,704763,Kanuti,M,Adult,2019,11.6,,N
KAN018,704778,Kanuti,M,Adult,2019,10.9,,N
KAN011,704780,Kanuti,M,Adult,2019,11.9,,N
KOY009,700516,Koyokuk,F,Juvenille,2018,NA,,N
KOY019,700520,Koyokuk,F,Juvenille,2018,NA,,N
KOY014,700522,Koyokuk,F,Adult,2018,10.5,,N
KOY017,700524,Koyokuk,F,Adult,2018,NA,,N
KOY010,700591,Koyokuk,F,Juvenille,2018,NA,,N
KOY031,700598,Koyokuk,F,Juvenille,2019,10,,N
KOY027,700599,Koyokuk,F,Juvenille,2018,8.6,,N
KOY030,704714,Koyokuk,F,Adult,2019,9.2,,N
KOY019,704715,Koyokuk,F,Adult,2019,NA,,N
KOY028,704725,Koyokuk,F,Adult,2019,8.2,,N
KOY033,704726,Koyokuk,F,Adult,2019,9.5,,N
KOY011,700517,Koyokuk,M,Adult,2018,NA,,N
KOY018,700518,Koyokuk,M,Juvenille,2018,NA,,N
KOY015,700519,Koyokuk,M,Adult,2018,11.5,,N
KOY023,700521,Koyokuk,M,Juvenille,2018,7.5,,N
KOY022,700523,Koyokuk,M,Juvenille,2018,7.4,,N
KOY013,700525,Koyokuk,M,Adult,2018,10.5,,N
KOY021,700530,Koyokuk,M,Juvenille,2018,8,,N
KOY025,700558,Koyokuk,M,Adult,2018,NA,,N
KOY026,700559,Koyokuk,M,Adult,2018,12.4,,N
KOY024,700560,Koyokuk,M,Adult,2018,11.5,,N
KOY012,700588,Koyokuk,M,Juvenille,2018,7.5,,N
KOY016,700589,Koyokuk,M,Juvenille,2018,NA,,N
KOY020,700590,Koyokuk,M,Juvenille,2018,8.5,Mortality,N
KOY034,704712,Koyokuk,M,Adult,2019,10.3,,N
KOY032,704713,Koyokuk,M,Adult,2019,8.5,,N
KOY025,704720,Koyokuk,M,Adult,2019,NA,,N
KOY029,704727,Koyokuk,M,Adult,2019,11.7,,N
,700595,Not Deployed,,,,,,N
,700596,Not Deployed,,,,,,N
,700597,Not Deployed,,,,,,N
TET055,700561,Tetlin,F,Adult,2018,9,,N
TET038,700563,Tetlin,F,Adult,2018,9.9,,N
TET058,700567,Tetlin,F,Adult,2018,9,,N
TET054,700575,Tetlin,F,Adult,2018,8.8,,N
TET053,700606,Tetlin,F,Juvenille,2018,,,N
TET065,704526,Tetlin,F,Juvenille,2019,6.7,,N
TET066,704527,Tetlin,F,Juvenille,2019,6.1,,N
TET080,704528,Tetlin,F,Juvenille,2019,6.7,,N
TET083,704532,Tetlin,F,Adult,2019,8,,N
TET076,704670,Tetlin,F,Adult,2019,7.9,,N
TET079,704671,Tetlin,F,Adult,2019,7.9,,N
TET075,704672,Tetlin,F,Adult,2019,8.1,Mortality,N
TET063,704676,Tetlin,F,Adult,2019,9.6,,N
TET070,704684,Tetlin,F,Adult,2019,8.8,,N
